央视,#genre#
CCTV1,http://61.140.113.125:808/hls/38/index.m3u8
CCTV2,http://61.140.113.125:808/hls/39/index.m3u8
CCTV3,http://61.140.113.125:808/hls/40/index.m3u8
CCTV4,http://61.140.113.125:808/hls/41/index.m3u8
CCTV5,http://61.140.113.125:808/hls/42/index.m3u8
CCTV6,http://61.140.113.125:808/hls/51/index.m3u8
CCTV7,http://61.140.113.125:808/hls/52/index.m3u8
CCTV8,http://61.140.113.125:808/hls/53/index.m3u8
CCTV9,http://61.140.113.125:808/hls/54/index.m3u8
CCTV10,http://61.140.113.125:808/hls/55/index.m3u8
CCTV11,http://61.140.113.125:808/hls/56/index.m3u8
CCTV12,http://61.140.113.125:808/hls/57/index.m3u8
CCTV13,http://61.140.113.125:808/hls/58/index.m3u8
CCTV14,http://61.140.113.125:808/hls/59/index.m3u8
CCTV15,http://61.140.113.125:808/hls/60/index.m3u8
CCTV17,http://61.140.113.125:808/hls/61/index.m3u8
CETV1,http://61.140.113.125:808/hls/204/index.m3u8
CETV2,http://61.140.113.125:808/hls/207/index.m3u8
CETV4,http://61.140.113.125:808/hls/208/index.m3u8
CCTV1,http://61.140.113.125:808/hls/617/index.m3u8
CCTV2,http://61.140.113.125:808/hls/618/index.m3u8
CCTV3,http://61.140.113.125:808/hls/619/index.m3u8
CCTV4,http://61.140.113.125:808/hls/620/index.m3u8
CCTV5,http://61.140.113.125:808/hls/621/index.m3u8
CCTV6,http://61.140.113.125:808/hls/622/index.m3u8
CCTV7,http://61.140.113.125:808/hls/623/index.m3u8
CCTV8,http://61.140.113.125:808/hls/624/index.m3u8
CCTV9,http://61.140.113.125:808/hls/625/index.m3u8
CCTV10,http://61.140.113.125:808/hls/626/index.m3u8
CCTV11,http://61.140.113.125:808/hls/627/index.m3u8
CCTV12,http://61.140.113.125:808/hls/628/index.m3u8
CCTV13,http://61.140.113.125:808/hls/629/index.m3u8
CCTV14,http://61.140.113.125:808/hls/630/index.m3u8
CCTV15,http://61.140.113.125:808/hls/631/index.m3u8
CCTV17,http://61.140.113.125:808/hls/633/index.m3u8
CETV2,http://61.140.113.125:808/hls/674/index.m3u8
CETV4,http://61.140.113.125:808/hls/675/index.m3u8
CCTV5+,http://61.140.113.125:808/hls/676/index.m3u8
CCTV1,http://121.27.126.103:809/hls/1/index.m3u8
CCTV2,http://121.27.126.103:809/hls/2/index.m3u8
CCTV3,http://121.27.126.103:809/hls/3/index.m3u8
CCTV4,http://121.27.126.103:809/hls/4/index.m3u8
CCTV5,http://121.27.126.103:809/hls/5/index.m3u8
CCTV6,http://121.27.126.103:809/hls/6/index.m3u8
CCTV7,http://121.27.126.103:809/hls/7/index.m3u8
CCTV8,http://121.27.126.103:809/hls/8/index.m3u8
CCTV9,http://121.27.126.103:809/hls/9/index.m3u8
CCTV10,http://121.27.126.103:809/hls/10/index.m3u8
CCTV11,http://121.27.126.103:809/hls/11/index.m3u8
CCTV12,http://121.27.126.103:809/hls/12/index.m3u8
CCTV13,http://121.27.126.103:809/hls/13/index.m3u8
CCTV14,http://121.27.126.103:809/hls/14/index.m3u8
CCTV15,http://121.27.126.103:809/hls/15/index.m3u8
CCTV5+,http://121.27.126.103:809/hls/16/index.m3u8
CCTV1,http://121.27.126.103:809/hls/101/index.m3u8
CCTV2,http://121.27.126.103:809/hls/102/index.m3u8
CCTV5,http://121.27.126.103:809/hls/105/index.m3u8
CCTV6,http://121.27.126.103:809/hls/106/index.m3u8
CCTV7,http://121.27.126.103:809/hls/107/index.m3u8
CCTV8,http://121.27.126.103:809/hls/108/index.m3u8
CCTV9,http://121.27.126.103:809/hls/109/index.m3u8
CCTV13,http://121.27.126.103:809/hls/113/index.m3u8
CCTV14,http://121.27.126.103:809/hls/114/index.m3u8
CCTV1,http://61.52.158.140:808/hls/1/index.m3u8
CCTV2,http://61.52.158.140:808/hls/2/index.m3u8
CCTV3,http://61.52.158.140:808/hls/3/index.m3u8
CCTV4,http://61.52.158.140:808/hls/4/index.m3u8
CCTV5,http://61.52.158.140:808/hls/5/index.m3u8
CCTV6,http://61.52.158.140:808/hls/6/index.m3u8
CCTV7,http://61.52.158.140:808/hls/7/index.m3u8
CCTV8,http://61.52.158.140:808/hls/8/index.m3u8
CCTV9,http://61.52.158.140:808/hls/9/index.m3u8
CCTV10,http://61.52.158.140:808/hls/10/index.m3u8
CCTV11,http://61.52.158.140:808/hls/11/index.m3u8
CCTV12,http://61.52.158.140:808/hls/12/index.m3u8
CCTV13,http://61.52.158.140:808/hls/13/index.m3u8
CCTV14,http://61.52.158.140:808/hls/14/index.m3u8
CCTV15,http://61.52.158.140:808/hls/15/index.m3u8
CCTV1,http://121.27.126.64:809/hls/1/index.m3u8
CCTV2,http://121.27.126.64:809/hls/2/index.m3u8
CCTV3,http://121.27.126.64:809/hls/3/index.m3u8
CCTV4,http://121.27.126.64:809/hls/4/index.m3u8
CCTV5,http://121.27.126.64:809/hls/5/index.m3u8
CCTV6,http://121.27.126.64:809/hls/6/index.m3u8
CCTV7,http://121.27.126.64:809/hls/7/index.m3u8
CCTV8,http://121.27.126.64:809/hls/8/index.m3u8
CCTV9,http://121.27.126.64:809/hls/9/index.m3u8
